Titolo italiano;Titolo originale;Anno;Tipologia di animazione;
Biancaneve e i sette nani;Snow White and the Seven Dwarfs;1937;Tradizionale;
Pinocchio;Pinocchio;1940;Tradizionale;
Fantasia;Fantasia;1940;Tradizionale;
Dumbo - L'elefante volante;Dumbo;1941;Tradizionale;
Bambi;Bambi;1942;Tradizionale;
Saludos Amigos;Saludos Amigos;1942;Tradizionale;
I tre caballeros;The Three Caballeros;1944;Tradizionale;
Musica maestro;Make Mine Music;1946;Tradizionale;
Bongo e i tre avventurieri;Fun & Fancy Free;1947;Tradizionale;
Lo scrigno delle sette perle;Melody Time;1948;Tradizionale;
Le avventure di Ichabod e Mr. Toad;The Adventures of Ichabod and Mr. Toad;1949;Tradizionale;
Cenerentola;Cinderella;1950;Tradizionale;
Alice nel Paese delle Meraviglie;Alice in Wonderland;1951;Tradizionale;
Le avventure di Peter Pan;Peter Pan;1953;Tradizionale;
Lilli e il vagabondo;Lady and the Tramp;1955;Tradizionale;
La bella addormentata nel bosco;Sleeping Beauty;1959;Tradizionale;
La carica dei 101;One Hundred and One Dalmatians;1961;Tradizionale;
La spada nella roccia;The Sword in the Stone;1963;Tradizionale;
Il libro della giungla;The Jungle Book;1967;Tradizionale;
Gli Aristogatti;The Aristocats;1970;Tradizionale;
Robin Hood;Robin Hood;1973;Tradizionale;
Le avventure di Winnie the Pooh;The Many Adventures of Winnie the Pooh;1977;Tradizionale;
Le avventure di Bianca e Bernie;The Rescuers;1977;Tradizionale;
Red e Toby nemiciamici;The Fox and the Hound;1981;Tradizionale;
Taron e la pentola magica;The Black Cauldron;1985;Tradizionale;
Basil l'investigatopo;The Great Mouse Detective;1986;Tradizionale;
Oliver & Company;Oliver & Company;1988;Tradizionale;
La sirenetta;The Little Mermaid;1989;Tradizionale;
Bianca e Bernie nella terra dei canguri;The Rescuers Down Under;1990;Tradizionale;
La bella e la bestia;Beauty and the Beast;1991;Tradizionale;
Aladdin;Aladdin;1992;Tradizionale;
Il re leone;The Lion King;1994;Tradizionale;
Pocahontas;Pocahontas;1995;Tradizionale;
Il gobbo di Notre Dame;The Hunchback of Notre Dame;1996;Tradizionale;
Hercules;Hercules;1997;Tradizionale;
Mulan;Mulan;1998;Tradizionale;
Tarzan;Tarzan;1999;Tradizionale;
Fantasia 2000;Fantasia 2000;1999;Tradizionale/CGI;
Dinosauri;Dinosaur;2000;CGI;
Le follie dell'imperatore;The Emperor's New Groove;2000;Tradizionale;
Atlantis - L'impero perduto;Atlantis: The Lost Empire;2001;Tradizionale;
Lilo & Stitch;Lilo & Stitch;2002;Tradizionale;
Il pianeta del tesoro;Treasure Planet;2002;Tradizionale;
Koda, fratello orso;Brother Bear;2003;Tradizionale;
Mucche alla riscossa;Home on the Range;2004;Tradizionale;
Chicken Little - Amici per le penne;Chicken Little;2005;CGI;
I Robinson - Una famiglia spaziale;Meet the Robinsons;2007;CGI;
Bolt - Un eroe a quattro zampe;Bolt;2008;CGI;
La principessa e il ranocchio;The Princess and the Frog;2009;Tradizionale;
Rapunzel - L'intreccio della torre;Tangled;2010;CGI;
Winnie the Pooh - Nuove avventure nel Bosco dei 100 Acri;Winnie the Pooh;2011;Tradizionale;
Ralph Spaccatutto;Wreck-It Ralph;2012;CGI;
Frozen - Il regno di ghiaccio;Frozen;2013;CGI;
Big Hero 6;Big Hero 6;2014;CGI;
Zootropolis;Zootopia;2016;CGI;
Oceania;Moana;2016;CGI;
Ralph spacca Internet;Ralph Breaks the Internet;2018;CGI;
Frozen II - Il segreto di Arendelle;Frozen II;2019;CGI;
Toy Story - Il mondo dei giocattoli;Toy Story;1995;CGI;
A Bug's Life - Megaminimondo;A Bug's Life;1998;CGI;
Toy Story 2 - Woody e Buzz alla riscossa;Toy Story 2;1999;CGI;
Monsters & Co.;Monsters, Inc.;2001;CGI;
Alla ricerca di Nemo;Finding Nemo;2003;CGI;
"Gli Incredibili - Una ""normale"" famiglia di supereroi";The Incredibles;2004;CGI;
Cars - Motori ruggenti;Cars;2006;CGI;
Ratatouille;Ratatouille;2007;CGI;
WALL•E;WALL•E;2008;CGI;
Up;Up;2009;CGI;
Toy Story 3 - La grande fuga;Toy Story 3;2010;CGI;
Cars 2;Cars 2;2011;CGI;
Ribelle - The Brave;Brave;2012;CGI;
Monsters University;Monsters University;2013;CGI;
Inside Out;Inside Out;2015;CGI;
Il viaggio di Arlo;The Good Dinosaur;2015;CGI;
Alla ricerca di Dory;Finding Dory;2016;CGI;
Cars 3;Cars 3;2017;CGI;
Coco;Coco;2017;CGI;
Gli Incredibili 2;Incredibles 2;2018;CGI;
Toy Story 4;Toy Story 4;2019;CGI;
